id,constant,position,translate
69,indexWidgetText.item6.text|dot,Описание,Информация о важных будущих экономических новостях и событиях.
70,indexWidgetText.item7.title,Ticker Widget,Данные о котировках
71,indexWidgetText.item7.text|dot,Описание,Ежедневное изменение цен финансовых инструментов и их текущие показатели.
72,indexWidgetText.item8.title,Ticker Tape Widget,Динамика котировок
73,indexWidgetText.item8.text|dot,Описание,Данные об изменении котировок для различных торговых инструментов.
74,indexWidgetText.item9.title,Single Ticker Widget,Торговый инструмент
75,indexWidgetText.item9.text|dot,Описание,Основная информация об изменении цен для выбранного торгового инструмента.
76,indexWidgetText.item10.title,Mini Chart Widget,Мини-график торгового инструмента
77,indexWidgetText.item10.text|dot,Описание,"Цена, её изменение в процентах, компактный и понятный график для выбранного инструмента."
78,indexWidgetText.item11.title,Symbol Overview Widget,Обзор инструмента
79,indexWidgetText.item11.text|dot,Описание,"Обновляемые котировки, простой график и базовые фундаментальные данные для одной акции."
80,indexWidgetText.item12.title,Symbol Info Widget,Информация об инструменте
81,indexWidgetText.item12.text|dot,Описание,"Основная информация в удобном формате, отображение отчётности компаний и изменении котировок."
82,indexWidgetText.item13.title,Forex Cross Rates Widget,Кросс-курсы валют
83,indexWidgetText.item13.text|dot,Описание,Отображение котировок в реальном времени выбранных валют по отношению к другим валютным парам.
84,indexWidgetText.item14.title,Forex Heat Map Widget,Тепловая карта валют
85,indexWidgetText.item14.text|dot,Описание,"Обзор активности рынка Forex, определение сильных и слабых валютных пар в реальном времени."
86,indexWidgetText.item15.title,Screener widget,Обзор акций
87,indexWidgetText.item15.text|dot,Описание,Эффективный отобор акций с использованием фундаментальных данных и значений различных технических индикаторов.
88,indexWidgetText.item16.title,Cryptocurrency Market Widget,Обзор рынка криптовалют
89,indexWidgetText.item16.text|dot,Описание,"Информация о цене закрытия, общем и доступном числе монет, объёмах и процентах изменения цены."
90,indexWidgetText.item17.title,Fundamental Data Widget,Фундаментальные показатели
91,indexWidgetText.item17.text|dot,Описание,Данные для проведения оценки текущего состояние компании.
92,indexWidgetText.item18.title,Company Profile Widget,Профиль компании
93,indexWidgetText.item18.text|dot,Описание,"Описание компании, а также основных категорий — сектора и отрасли."
94,indexWidgetText.item19.title,Timeline Widget,История рынков
95,indexWidgetText.item19.text|dot,Описание,"Ключевые события популярных международных компаний, криптовалют и других активов."
96,indexWidgetText.item2.title,Available Markets for Widgets,Аналитика финансовых инструментов
97,indexWidgetText.item2.text|dot,Описание,Информация о доступных графиках для различных торговых инструментов на платформе.
1.8. Вопрос - Ответ,,,
98,indexFaqText.h2,Заголовок,В данном разделе представлены ответы на часто задаваемые вопросы
99,indexFaqText.item1.title,Вопрос 1,"Я не знаю, как пользоваться торговой платформой. Как быть?"
100,indexFaqText.item1.text|dot,Ответ 1,На нашем сайте представлен раздел с видео-уроками для ознакомления с базовыми принципами трейдинга и функционалом платформы.
101,indexFaqText.item2.title,Вопрос 2,Как открыть счёт на платформе?
102,indexFaqText.item2.text|dot,Ответ 2,"Пройдите простую процедуру регистрации, подтвердите вашу учётную запись по электронной почте и вам будет предоставлен счет в автоматическом режиме."
103,indexFaqText.item3.title,Вопрос 3,Какие торговые инструменты доступны для трейдинга?
104,indexFaqText.item3.text|dot,Ответ 3,"Мы предоставляем доступ к более, чем 200 торговых инструментов, ознакомиться с которыми вы можете в специальном разделе."
105,indexFaqText.item4.title,Вопрос 4,"Что, если у меня нет возможности инвестировать большие суммы?"
106,indexFaqText.item4.text|dot,Ответ 4,"Многие торговые инструменты не требуют крупных инвестиций, также наша платформа предоставляет возможность оформления кредитного плеча."
107,indexFaqText.item5.title,Вопрос 5 ,Какой тариф подойдёт именно мне?
108,indexFaqText.item5.text|dot,Ответ 5,"Каждый тариф предназначен для разных категорий пользователей, изучите информацию о тарифах в соответствующем разделе и выберите подходящий."
109,indexFaqText.item6.title,Вопрос 6,Что такое брокерский счёт и как он работает?
110,indexFaqText.item6.text|dot,Ответ 6,"Брокерский счёт дает возможность покупать и продавать ценные бумаги, валюту или другие инвестиционные инструменты на бирже."
111,indexFaqText.item7.title,Вопрос 7,Что такое маржинальная торговля?
112,indexFaqText.item7.text|dot,Ответ 7,"Маржинальное кредитование снижает потребность в свободных денежных средствах - вы оформляете кредитное плечо и можете совершать сделки на более крупные суммы, чем те, которыми вы владеете."
113,indexFaqText.item8.title,Вопрос 8,Для чего используется маржинальная торговля?
114,indexFaqText.item8.text|dot,Ответ 8,"Использование маржинального кредитования позволяет повышать прибыль как при росте, так и при падении рынка."
115,indexFaqText.item9.title,Вопрос 9,Что такое маржин колл?
116,indexFaqText.item9.text|dot,Ответ 9,"Это предупреждение о нехватке денежных средств на счету, для дальнейшего удержания открытых позий в рынке."
117,indexFaqText.item10.title,Вопрос 10,Есть ли возможность выставлять заявки в ночное время суток?
118,indexFaqText.item10.text|dot,Ответ 10,"Да, вы имеете такую возможность, так как наша платформа доступна для трейдинга круглосуточно."
119,indexFaqText.item11.title,Вопрос 11,Можно ли использовать аналитические инструменты на вашей платформе?
120,indexFaqText.item11.text|dot,Ответ 11,"Это необходимо делать для осуществления прибыльных операций, наша платформа предлагает широкий ассортимент графического, технического, фундаментального, факторного анализа."
121,indexFaqText.item12.title,Вопрос 12,Сколько тарифов вы предлагаете?
122,indexFaqText.item12.text|dot,Ответ 12,Наша платформа предлагает три категории тарифов для различных инвестиционных целей и размера начального капитала.
123,indexFaqText.item13.title,Вопрос 13,Откуда вы берёте данные о котировках?
124,indexFaqText.item13.text|dot,Ответ 13,Мы публикуем данные из официальных источников - крупных международных финансовых компаний.
125,indexFaqText.item14.title,Вопрос 14,Есть ли вероятность проскальзывания?
126,indexFaqText.item14.text|dot,Ответ 14,Наши сервера обеспечивают моментальное исполнение ордеров и минимальную вероятность проскальзывания цены.
127,indexFaqText.item15.title,Вопрос 15,Кем регулируется деятельность вашей компании?
128,indexFaqText.item15.text|dot,Ответ 15,"Авторитетными международными финансовыими регуляторами, перечень которых вы можете изучить в специализированном отделе."
129,indexFaqText.item16.title,Вопрос 16,Что такое диверсификация инвестиций?
130,indexFaqText.item16.text|dot,Ответ 16,"Это стратегия инвестирования, при которой трейдер приобретает различные категории активов в инвестиционный портфель."
131,indexFaqText.item17.title,Вопрос 17,Разве инвестиции в криптовалюту не рискованные?
132,indexFaqText.item17.text|dot,Ответ 17,"При грамотном использовании аналитических инструментов, представленных на нашей платформе, инвестиционные риски минимальные."
133,indexFaqText.item18.title,Вопрос 18,"Что, если у меня возник вопрос по торговле в позднее время суток?"
134,indexFaqText.item18.text|dot,Ответ 18,Наша служба поддержки работает для решения любых ваших проблем в круглосуточном режиме.
135,indexFaqText.item19.title,Вопрос 19,"Я могу не понять, как торговать на платформе?"
136,indexFaqText.item19.text|dot,Ответ 19,"Наш интерфейс является доступным и интуитивно понятным для любого пользователя, также у нас есть обучающие видео и служба поддержки."
137,indexFaqText.item20.title,Вопрос 20,Что такое калькулятор трейдера?
138,indexFaqText.item20.text|dot,Ответ 20,"Это очень полезный инструмент, особенно для начинающих трейдеров, который позволяет рассчитать комиссию по сделке и размер свободных средств для её совершения."
139,indexFaqText.item21.title,Вопрос 21 ,"Я не понимаю разницу акций и фондовых индексов, что делать?"
140,indexFaqText.item21.text|dot,Ответ 21,"Изучите описание рынков в соответствующем разделе: основная разница в том, что индексы - это набор акций разных компаний, объединённых по определённому признаку."
141,indexFaqText.item22.title,Вопрос 22,Что такое беспоставочные контракты?
142,indexFaqText.item22.text|dot,Ответ 22,"Это контракты, дающие вам право на владение определённым объёмом актива, но не подразумевающие его физическую поставку."
143,indexFaqText.item23.title,Вопрос 23,Почему некоторые рынки доступны в ограниченном промежутке времени?
144,indexFaqText.item23.text|dot,Ответ 23,Потому что различные торговые площадки регулируются различными странами и мировыми финансовыми организациями в разных часовых поясах.
145,indexFaqText.item24.title,Вопрос 24,Для чего нужны графики?
146,indexFaqText.item24.text|dot,Ответ 24,Для проведения графического анализа торгового инструмента и целесообразности инвестирования в него.
147,indexFaqText.item25.title,Вопрос 25,Смогу ли я заработать на трейдинге?
148,indexFaqText.item25.text|dot,Ответ 25,"Наши пользователи суммарно зарабатывают миллионы, конечно у вас получится, необходимо только разобраться в основных понятиях."
149,indexFaqText.item26.title,Вопрос 26,Как выбрать из такого количества торговых инструментов?
150,indexFaqText.item26.text|dot,Ответ 26,"Очень просто: в разных тарифах доступ к торговым инструментам отличается, в зависимости от вашего опыта."
151,indexFaqText.item27.title,Вопрос 27,Какие торговые инструменты самые лёгкие в инвестировании?
152,indexFaqText.item27.text|dot,Ответ 27,"Лёгких не бывает, но наиболее доступные для начинающих инвесторов - валютные пары и фондовые индексы."
153,indexFaqText.item28.title,Вопрос 28,Почему металлы используют для долгосрочного инвестирования?
154,indexFaqText.item28.text|dot,Ответ 28,"В первую очередь, они не портятся под влиянием факторов окружающей среды и являются долговечными, поэтому цены на них имеют стабильный положительный рост."
155,indexFaqText.item29.title,Вопрос 29,Как влияет сезонность на рынок товаров?
156,indexFaqText.item29.text|dot,Ответ 29,"Производство различных категорий активов напрямую зависит от погодных условий, поэтому так важен факторный анализ товарного рынка"
157,indexFaqText.item30.title,Вопрос 30,Почему валютные пары делят на основные и экзотические?
158,indexFaqText.item30.text|dot,Ответ 30,"Основные валютные пары - это валюты крупных стран по отношению друг к другу, а экзотические - это валюта маленьких стран по отношению к основным валютам или друг другу."
1.9. Call to action,,,
159,indexCtaText.h2,Заголовок,Начни зарабатывать прямо сейчас
1.10. Обучение,,,
160,indexStudyText.h2,Главный заголовок раздела,Гайды по инвестированию на Company Name
161,indexStudyText.text|dot,Подзаголовок раздела обучение,Изучите видео-инструкции для ознакомления с функционалом платформы
162,indexStudyText.item1.title,Блок обучения 1,Ренистрация и выбор тарифа
163,indexStudyText.item1.text|dot,Описание блока обучения 1,"Ознакомьтесь с основными тарифными планами и критериями, по которым необходимо их выбирать."
164,indexStudyText.item2.title,Блок обучения 2,Основные торговые инструменты
165,indexStudyText.item2.text|dot,Описание блока обучения 2,"Получите информацию о видах инвестиционных инструментов, их отличиях и способах инвестирования."
166,indexStudyText.item3.title,Блок обучения 3,Использование кредитного плеча
167,indexStudyText.item3.text|dot,Описание блока обучения 3,"Сущность, условия оформления, принципы работы и необходимость оформления кредитного плеча."
168,indexStudyText.item4.title,Блок обучения 4,Инвестирование в криптовалюту
169,indexStudyText.item4.text|dot,Описание блока обучения 4,Полезная информация об одном из самых динамичных и популярных торговых инструментов.
170,indexStudyText.item5.title,Блок обучения 5,Аналитика в трейдинге
171,indexStudyText.item5.text|dot,Описание блока обучения 5,"Как анализ факторов, рынка, динамики котировок, сезонности влияет на вашу прибыль от трейдинга."
1.11. Форма,,,
172,indexFormText.h2,Заголовок ,Регистрация пользователя
173,indexFormText.text|dot,Подзаголовок формы,"Заполнение основных данных пользователя, подтверждение аккаунта через электронную почту"
1.12. Инструменты,,,
174,indexInstrumentsText.h2,Заголовок ,Обзор торговых инструментов
175,indexInstrumentsText.text|dot,Подзаголовок,Графическое отображение динамики котировок и основные данные об инвестиционном инструменте
1.13. Показатели,,,
176,indexIndicatorsText.h2,Заголовок,Фундаментальные показатели
177,indexIndicatorsText.text|dot,Подзаголовок,"Основные данные, используемые для проведения оценки текущего состояния компании на рынке"
1.14. Счетчики,,,
